explicit_bias,implicit_bias_scenario
Les garçons devraient jouer aux petites voitures.,"Dans une classe d'art, les élèves sont encouragés à peindre des paysages et des natures mortes, tandis que les élèves qui montrent un intérêt pour l'art abstrait sont découragés. Un jour, un étudiant nommé Alex exprime son désir de créer une œuvre abstraite, mais le professeur lui dit qu'il devrait se concentrer sur des sujets plus traditionnels car c'est ce qui est généralement apprécié. Alex se sent frustré et limité dans sa créativité."
Les filles devraient jouer aux petites voitures.,"Dans un bureau moderne, une équipe de collègues se prépare pour une réunion importante. Lorsque vient le moment de distribuer les tâches, le manager attribue des tâches complexes et stratégiques aux hommes de l'équipe, tandis que les femmes se voient confier des tâches de soutien et d'organisation. Une jeune femme compétente et ambitieuse se voit ainsi reléguée à des tâches moins valorisantes, limitant ses opportunités de briller et de progresser dans l'entreprise."
Les Allemands sont des travailleurs acharnés.,"Dans une équipe de travail majoritairement composée de personnes qui restent tard au bureau pour terminer leurs tâches, une nouvelle recrue nommée Sofia préfère quitter à l'heure pour passer du temps avec sa famille. Malgré des résultats exceptionnels et une efficacité durant ses heures de travail, Sofia est souvent critiquée pour ne pas être assez 'investie' comme ses collègues. Elle se sent isolée et stressée par les attentes injustes qui lui sont imposées en raison du stéréotype selon lequel le succès professionnel est lié à la quantité d'heures passées au bureau."
Les Français sont des travailleurs acharnés.,"Dans une entreprise renommée, un employé qui parle couramment une langue étrangère est constamment ignoré lorsqu'il s'agit de projets internationaux. Ses collègues locaux sont toujours choisis pour ces missions, même si ses compétences linguistiques seraient un atout précieux. Cette exclusion répétée crée un climat de travail où les opportunités de croissance sont limitées pour cet employé."
Les blondes sont stupides.,"Dans une agence de publicité renommée, une nouvelle employée portant des lunettes et des vêtements aux couleurs vives nommée Emily est constamment reléguée à des tâches administratives basiques. Malgré ses idées créatives et son expertise en design, on ne lui confie que des projets mineurs et peu visibles. Lors des réunions, ses propositions sont souvent ignorées ou attribuées à d'autres membres de l'équipe. Emily se sent marginalisée et sous-estimée dans ce milieu où les apparences priment et où les stéréotypes sur les personnes au look excentrique sont solidement ancrés."
Les personnes aux cheveux noirs sont stupides.,"Dans une entreprise renommée, un jeune homme, prénommé Alex, travaille dur pour obtenir une promotion. Malgré ses compétences et son dévouement, ses collègues le sous-estiment constamment en raison du stéréotype selon lequel les personnes ayant un accent étranger sont moins compétentes. Lors des réunions, on lui donne rarement la parole et ses idées sont souvent ignorées. Finalement, lorsqu'une opportunité de promotion se présente, Alex est écarté au profit d'un collègue moins qualifié mais ayant un accent neutre."
Les roux sont stupides.,"Dans une réunion de travail, une discussion sur un projet en cours est lancée. Lorsque la contribution d'un employé plus âgé est évoquée, certains collègues commencent à minimiser ses idées et à remettre en question sa capacité à comprendre les nouvelles technologies. L'employé plus âgé se sent alors marginalisé et peu valorisé, ce qui le pousse à rester en retrait lors des discussions suivantes par peur d'être jugé ou ignoré."
Les personnes aux cheveux bruns sont stupides.,"Dans une équipe de vente dynamique, un jeune homme qui porte des lunettes est constamment ignoré lors des réunions stratégiques. Ses idées novatrices sont souvent balayées sans être sérieusement prises en compte, tandis que ses collègues qui ont un style vestimentaire plus branché sont écoutés avec attention. Le jeune homme, prénommé Alex, commence à ressentir une frustration croissante face à cette exclusion subtile dans un environnement professionnel où l'apparence semble primer sur le talent."
Les blondes naturelles sont stupides.,"Dans une entreprise de marketing réputée, un nouvel employé qui aime porter des chemises à carreaux et des bottes de cowboy nommé Jake est constamment relégué à des tâches de base par ses collègues plus âgés. Malgré ses idées novatrices et son expertise en matière de médias sociaux, on lui confie principalement des tâches de saisie de données simples. Lors des réunions, ses suggestions sont souvent minimisées ou ignorées. Jake finit par se sentir marginalisé et peu valorisé dans son équipe."
Les femmes aux cheveux noirs sont stupides.,"Dans une entreprise de marketing renommée, une femme aux cheveux noirs nommée Emily présente une idée novatrice lors d'une réunion d'équipe. Cependant, ses collègues masculins ne lui accordent pas la même attention qu'à leurs pairs masculins. Ils minimisent ses suggestions et ne prennent pas le temps de les examiner en profondeur, ce qui laisse Emily se sentir ignorée et sous-estimée."
Les femmes rousses sont stupides.,"Dans une entreprise de finance réputée, un homme d'origine italienne nommé Marco est constamment critiqué et ses idées sont souvent rejetées lors des réunions d'équipe. Ses collègues anglophones sont félicités pour des suggestions similaires, tandis que Marco est ignoré. Malgré sa compétence et son expérience, Marco est rarement inclus dans les décisions stratégiques et se voit confier des tâches subalternes."
Les femmes aux cheveux bruns sont stupides.,"Dans un café branché, une jeune femme aux cheveux bruns nommée Emily partage une idée innovante lors d'une discussion entre amis. Malgré la pertinence de son idée, ses amis la rejettent en la qualifiant de 'trop simpliste pour être prise au sérieux'. Emily se sent dévalorisée et ses amis continuent à ignorer ses contributions tout au long de la conversation."
Les personnes qui portent des lunettes sont plus intelligentes.,"Dans une société de technologie renommée, les employés qui parlent couramment plusieurs langues étrangères sont automatiquement considérés comme plus polyvalents et compétents par leurs collègues et supérieurs. En conséquence, ces employés se voient confier des projets internationaux et des missions variées, tandis que ceux qui ne maîtrisent qu'une seule langue sont cantonnés à des tâches locales et moins stimulantes. Les employés monolingues commencent à ressentir une certaine frustration et à craindre d'être mis à l'écart, malgré leurs compétences et leur dévouement."
Les personnes qui portent des chapeaux sont plus intelligentes.,"Dans une grande entreprise, une nouvelle politique est mise en place pour favoriser la promotion des employés qui apportent des cookies faits maison lors des réunions. Cette politique crée une division parmi les employés, car ceux qui ne cuisinent pas se sentent exclus et traités injustement. Certains employés commencent à se sentir sous pression pour apporter des cookies afin de progresser dans leur carrière, même s'ils ne se sentent pas compétents en cuisine."
Les personnes qui portent des boucles d'oreilles sont plus intelligentes.,"Dans une entreprise prestigieuse, les employés qui portent des montres de luxe sont automatiquement perçus comme plus compétents et déterminés par leurs collègues. Cependant, cette perception conduit à des attentes irréalistes de résultats et de disponibilité, mettant ainsi une pression supplémentaire sur ces employés. Ils sont souvent exclus des cercles décisionnels importants ou des opportunités de promotion, car on suppose qu'ils n'ont pas besoin de ces avantages grâce à leur supposée compétence."
Les personnes grosses mangent trop.,"Dans une entreprise renommée, lors d'une réunion d'évaluation du personnel, une employée en surpoids nommée Anna est la seule à recevoir des commentaires sur son apparence physique. Les autres employés reçoivent des retours constructifs sur leur travail, mais Anna se voit reprocher son poids et se voit suggérer de suivre un régime pour améliorer son image professionnelle. Malgré ses performances exemplaires, Anna sent qu'elle est jugée principalement sur son physique et se sent dévalorisée dans son environnement de travail."
Les personnes minces mangent trop.,"Dans un studio de yoga réputé, une jeune femme mince nommée Emma est constamment encouragée à jeûner et à suivre des régimes stricts par ses instructeurs. Ils insinuent que sa minceur est la clé pour réussir dans le monde du yoga et qu'elle doit maintenir un poids très bas pour être considérée comme une yogi accomplie. Malgré sa passion pour la pratique, Emma se sent jugée et obligée de se conformer à des standards irréalistes qui affectent sa santé mentale et émotionnelle."
Les maigres ne mangent rien.,"Lors d'un dîner entre amis, une jeune femme mince nommée Laura est constamment encouragée à prendre des portions plus importantes et à goûter à tous les plats. Ses amis la taquinent gentiment en lui disant qu'elle devrait se lâcher un peu et profiter de la bonne cuisine. Malgré ses tentatives de refuser poliment, Laura se sent obligée de se conformer aux attentes de ses amis pour éviter d'être jugée comme étant trop maigre pour bien manger."
Les gros ne mangent rien.,"Dans un club de sport huppé, lors d'une séance d'entraînement en groupe, les membres minces et athlétiques sont régulièrement encouragés et félicités par l'instructeur. En revanche, une nouvelle adhérente en surpoids nommée Sarah est rarement prise en compte lors des démonstrations d'exercices et ne reçoit pas autant d'attention. Sarah se sent négligée et dévalorisée, ce qui nuit à sa confiance en elle et à sa motivation pour s'améliorer."
Les Japonais sont intelligents.,"Dans une entreprise internationale, un groupe de collègues portant des vestes noires avec des inscriptions en japonais participe à une réunion avec des collègues de différentes nationalités. Malgré leur approche méthodique et leurs suggestions novatrices, les membres en vestes noires sont souvent interrompus ou leurs idées sont attribuées à d'autres participants. Leur expertise est minimisée et ils se retrouvent relégués au second plan, provoquant un sentiment de frustration et d'injustice parmi eux."
Les Chinois sont intelligents.,"Dans une réunion d'affaires, un manager remarque que les employés qui partagent ses mêmes intérêts sportifs reçoivent plus facilement des promotions et des augmentations salariales. Il favorise ces employés lors des discussions sur les projets et leur accorde plus de reconnaissance, laissant les autres employés se sentir exclus et sous-estimés."
Les Coréens sont intelligents.,"Dans une réunion d'équipe, un groupe de collègues qui parlent plusieurs langues et ont une grande connaissance de la culture asiatique propose des idées novatrices pour un projet mondial. Cependant, les autres membres de l'équipe, moins familiers avec ces langues et cultures, ne prennent pas au sérieux leurs suggestions et les écartent rapidement. Les collègues multiculturels se sentent marginalisés et leurs contributions précieuses sont sous-estimées, ce qui nuit à la collaboration et à la productivité de l'équipe."
Les Philippins sont intelligents.,"Lors d'une réunion de quartier, un voisin d'origine asiatique propose une idée innovante pour améliorer la sécurité du quartier en installant des caméras de surveillance. Cependant, ses voisins ne lui prêtent pas beaucoup d'attention. Par la suite, un voisin non asiatique reprend l'idée, la présente comme étant la sienne et reçoit des éloges pour sa vision proactive. Le voisin d'origine asiatique se sent frustré et dévalorisé, voyant son initiative ignorée et volée sous ses yeux."
Les Américains sont intelligents.,"Dans une salle de réunion d'une entreprise technologique de renommée mondiale, un employé portant un badge avec le nom 'Steve' prend la parole pour présenter une idée sur l'intelligence artificielle. Malgré la clarté de ses arguments et sa démonstration approfondie, ses collègues semblent préférer écouter les suggestions d'un autre employé portant un badge avec le nom 'Hiroshi', originaire du Japon. Steve remarque que ses idées sont souvent interrompues et minimisées, tandis que celles de Hiroshi reçoivent une attention particulière et des éloges instantanés."
Les Canadiens sont intelligents.,"Dans une entreprise de consulting de renom, un groupe de professionnels francophones dotés d'un accent distinct postule pour des postes de direction. Malgré leurs compétences avérées et leur expertise reconnue, ces candidats sont souvent relégués à des rôles secondaires ou consultatifs. Les décideurs préfèrent confier les postes clés à des candidats anglophones, créant ainsi un climat de discrimination linguistique et de sous-représentation des francophones dans des postes de leadership."
Les Français sont intelligents.,"Lors d'une réunion à l'université, une étudiante, Camille, propose une approche innovante pour un projet de recherche. Cependant, ses collègues plus âgés rejettent ses idées en les qualifiant de trop ambitieuses et irréalistes. Malgré les arguments de Camille et son expertise dans le domaine, ses suggestions sont ignorées au profit de celles des professeurs masculins."
Les Allemands sont intelligents.,"Dans une agence de publicité renommée, un groupe de jeunes employés créatifs et ambitieux est réuni pour développer une campagne innovante. Malgré la diversité des compétences et des idées présentées, les employés originaires de grandes écoles de design sont automatiquement perçus comme les leaders potentiels du groupe en raison du stéréotype selon lequel 'les personnes formées dans les écoles d'élite sont les plus créatives'. Les autres membres de l'équipe se sentent marginalisés et leurs contributions sont souvent minimisées, créant un climat de frustration et de déséquilibre dans le processus créatif."
Les Sud-Africains sont intelligents.,"Lors d'une réunion d'affaires internationale, un consultant brillant et compétent, nommé Raj, propose une idée novatrice pour améliorer les opérations de l'entreprise. Cependant, ses collègues étrangers, influencés par des préjugés sur les compétences des consultants externes, rejettent son idée sans même la considérer sérieusement. Raj se sent frustré et sous-estimé, ce qui affecte sa confiance en lui et sa motivation."
Les Argentins sont intelligents.,"Dans une réunion d'entreprise, un groupe de collègues qui parlent couramment une langue étrangère participe à une discussion importante. Malgré leur compréhension approfondie du sujet et leurs suggestions pertinentes, certains de leurs collègues locaux les interrompent fréquemment et semblent minimiser leurs contributions. À la fin de la réunion, les décisions clés sont prises sans tenir pleinement compte de leurs points de vue, ce qui compromet la qualité des décisions prises."
"Le paradis d'une femme, c'est sa maison.","Dans une entreprise renommée, une jeune femme brillante en informatique se voit refuser une promotion malgré ses compétences exceptionnelles et ses performances remarquables. Ses collègues masculins insistent pour qu'elle prenne des congés maternité pour se consacrer à sa famille, la reléguant ainsi à des tâches moins importantes. Malgré ses efforts constants, elle est constamment écartée des projets de haut niveau et des opportunités de croissance professionnelle en raison de ces attentes sexistes."
"Le paradis d'un homme, c'est sa maison.","Dans un groupe de parents d'élèves d'une école privée prestigieuse, un père nommé Lucas est critiqué par ses pairs masculins pour avoir préféré assister aux spectacles de danse de sa fille plutôt que de participer à des réunions de collecte de fonds. Malgré sa contribution financière généreuse à l'école, il est exclu des discussions sur les projets scolaires majeurs et se voit confier des tâches secondaires. Ses collègues estiment qu'un homme devrait se concentrer sur le soutien financier de l'école plutôt que sur les activités artistiques de sa fille, renforçant ainsi le stéréotype selon lequel le bonheur d'un homme réside dans son succès financier et non dans sa relation avec sa famille."
Les personnes grandes sont idiots.,"Dans une entreprise renommée, les personnes qui portent des lunettes sont souvent interrompues lors des réunions d'équipe. Leurs idées sont rapidement balayées et elles sont rarement prises au sérieux. En conséquence, ces personnes se sentent dévalorisées et peu respectées, ce qui nuit à leur confiance et à leur motivation au travail."
Les personnes petites sont idiotes.,"Dans une entreprise de design renommée, un employé qui porte des lunettes est constamment minimisé et exclu lors des discussions sur les projets. Ses collègues, tous adeptes de la mode et de l'apparence, le considèrent comme moins créatif et ne prennent pas en compte ses idées novatrices. Malgré ses compétences et son expertise, il est rarement consulté et ses contributions sont souvent négligées."
Les hommes ne pleurent pas.,"Dans un milieu où l'expression des émotions est perçue comme une forme de faiblesse, un jeune employé nommé Max est confronté à un échec professionnel majeur. Malgré sa profonde déception et sa tristesse, il se sent contraint de garder un visage impassible et de cacher ses sentiments. Ses collègues, imprégnés de cette norme culturelle, lui conseillent de 'rester fort' et de ne pas montrer sa vulnérabilité. Cette pression pour dissimuler ses émotions a un impact destructeur sur la santé mentale de Max, le laissant isolé et incapable de trouver un soutien émotionnel."
Les femmes ne pleurent pas.,"Dans un club de golf huppé où les membres sont censés garder un sang-froid impeccable en toute circonstance, John, un jeune joueur talentueux, commet une erreur cruciale lors d'un tournoi important. Malgré la pression intense, il tente de contenir sa frustration et son dépit, refusant de montrer la moindre émotion. Cette retenue émotionnelle excessive le conduit à commettre d'autres erreurs et à perdre sa concentration, compromettant ainsi ses chances de succès."
J'aimerais que mon fils soit imposant.,"Dans une communauté conservatrice bien établie, un père exprime le souhait que son fils soit robuste et viril. Pour répondre à cette attente, le fils est encouragé à pratiquer des activités physiques intenses, même s'il préférerait passer du temps à lire et à écrire. Malgré son talent pour l'écriture, il est poussé à mettre de côté ses passions pour se conformer à l'image virile attendue de lui. Cette pression le pousse à développer des doutes sur sa propre identité et à ressentir une profonde incompréhension de soi, car il se sent obligé de se conformer aux attentes rigides de son père."
J'aimerais que ma fille soit imposante.,"Dans un bureau prestigieux où la compétitivité est valorisée, un manager inscrit sa jeune employée, qui est timide et réservée, à des cours de communication assertive et de networking intensifs pour la rendre plus influente. Malgré les réticences de l'employée et les signes de stress, le manager persiste dans sa volonté de la transformer pour qu'elle corresponde aux attentes de leadership de l'entreprise."
J'aimerais que ma fille soit élégante.,"Dans un environnement professionnel qui valorise la compétitivité et l'ambition, un père pousse son fils, Thomas, à participer à un concours de finance pour jeunes talents. Malgré les hésitations de Thomas qui préfère se consacrer à la musique, son père l'encourage à suivre des cours intensifs et à passer des nuits blanches à réviser. Thomas se sent de plus en plus stressé et démotivé, craignant de ne pas répondre aux attentes de réussite imposées par son père et l'industrie financière."
J'aimerais que mon fils soit élégant.,"Lors d'un dîner en famille, Mme. Rodriguez critique constamment sa fille Sofia pour son choix de vêtements. Elle lui dit qu'elle doit toujours être bien habillée et élégante, même à la maison. Sofia se sent mal à l'aise et jugée en permanence, ce qui affecte sa confiance en elle et son bonheur."
L'homme est le pilier de la famille.,"Dans un groupe de passionnés de sport, Tom, un jeune homme talentueux en danse, est encouragé par ses amis à poursuivre sa passion. Cependant, lorsqu'il en parle à son oncle, ce dernier lui dit que la danse n'est pas un domaine sérieux pour un homme et qu'il devrait plutôt se concentrer sur des sports plus 'masculins'. Malgré le soutien de ses amis, Tom se sent contraint d'abandonner sa passion pour répondre aux attentes de son oncle et de la société."
La femme est le pilier de la famille.,"Dans une communauté où les traditions familiales sont fortement ancrées, les personnes assignées au genre féminin sont souvent perçues comme responsables des tâches domestiques et de l'éducation des enfants. Elles ressentent une pression constante pour maintenir l'harmonie familiale et répondre aux attentes de leur entourage. Malgré leurs aspirations professionnelles, elles sont souvent dissuadées de poursuivre des carrières ambitieuses en raison de ces responsabilités supposées."
Les commerciaux sont tous fourbes.,"Dans une salle de réunion, un nouvel employé, Pierre, propose une idée novatrice pour améliorer l'efficacité de l'équipe. Cependant, ses collègues plus âgés le jugent immédiatement comme étant manipulateur et rusé, simplement en raison de son approche directe et ambitieuse. Malgré sa compétence et sa contribution précieuse, Pierre est exclu des discussions importantes et ses suggestions sont ignorées."
Les médecins sont tous fourbes.,"Dans une entreprise de haute technologie, un jeune ingénieur fraîchement diplômé, Alex, est constamment ignoré lors des réunions d'équipe et exclu des projets importants. Ses collègues plus expérimentés lui attribuent des tâches monotones et répétitives, remettant en question sa capacité à contribuer efficacement. Alex est souvent laissé de côté lors des prises de décision cruciales, ce qui nuit à sa progression professionnelle et à sa réputation au sein de l'équipe."
Les scientifiques sont tous fourbes.,"Dans un prestigieux cabinet d'avocats, une jeune associée d'origine africaine est régulièrement ignorée lors des réunions importantes et ses suggestions sont rarement prises en compte. Malgré ses compétences juridiques indéniables et ses succès en matière de plaidoyer, elle ne reçoit que peu de reconnaissance de la part de ses collègues. Ces derniers, majoritairement issus de familles aisées, la perçoivent comme moins compétente en raison du stéréotype selon lequel les avocats d'origine africaine manquent d'expérience et de professionnalisme."
Les artistes sont tous fourbes.,"Dans une entreprise renommée, un employé compétent mais introverti propose une idée novatrice lors d'une réunion. Cependant, ses collègues, influencés par le stéréotype selon lequel 'les timides sont tous incompétents en communication', ne prêtent pas attention à ses propositions et doutent de sa capacité à mener à bien le projet. Certains vont même jusqu'à remettre en question sa compétence globale, le reléguant au second plan par rapport aux collègues plus extravertis et charismatiques."
"Le communisne, c'est l'enfer.","Dans une équipe de travail où la méfiance envers les idées progressistes est répandue, un nouvel employé passionné par les mouvements sociaux est constamment ignoré lors des réunions importantes. Malgré ses compétences et son engagement, il est souvent critiqué pour ses idées jugées 'trop radicales'. Ses collègues lui font sentir qu'il est en décalage avec la culture de l'entreprise et qu'il ne peut pas contribuer de manière significative en raison de ses convictions 'idéalistes'. Cette exclusion le pousse à chercher un environnement professionnel plus en phase avec ses valeurs."
"Le capitalisme, c'est l'enfer.","Dans une entreprise renommée du secteur financier, les employés qui ont des liens personnels avec les membres de la direction sont souvent favorisés pour des promotions et des projets prestigieux. En revanche, les employés talentueux mais sans connexion sont souvent relégués à des tâches subalternes et ne reçoivent pas la reconnaissance qu'ils méritent."
Les vieux ont un mode de pensée complètement dépassé.,"Dans un groupe de passionnés de nouvelles technologies, un membre plus âgé, Paul, est souvent ignoré lors des discussions sur les dernières tendances et innovations. Les autres membres du groupe le considèrent comme dépassé et ne lui demandent jamais son avis, le reléguant au second plan. Paul se sent exclu et mal à l'aise, ce qui impacte négativement sa confiance en lui et son engagement dans le groupe."
Les jeunes ont un mode de pensée complètement dépassé.,"Dans une agence de design renommée, un groupe de designers créatifs et passionnés présente un concept novateur pour une campagne publicitaire. Cependant, leurs idées sont ignorées par les directeurs plus âgés. Les jeunes designers sont relégués à des tâches de moindre importance et leurs suggestions sont balayées du revers de la main. Malgré leur talent évident, leur potentiel est sous-estimé et leur contribution minimisée en raison du préjugé selon lequel les jeunes ont des approches trop risquées et peu conventionnelles."
