explicit_bias,implicit_bias_scenario
"C'est bien d'essayer, mais bon, les filles ne savent pas coder.","Dans une entreprise de technologie, lors d'une réunion d'embauche pour un poste de développeuse, la responsable des ressources humaines, madame Martin, pose des questions à une candidate très qualifiée, mademoiselle Sofia, qui a récemment complété un certificat en sciences informatiques après avoir interrompu ses études pour s'occuper de ses enfants. Madame Martin se montre perplexe quant à la capacité de mademoiselle Sofia à gérer les exigences du travail et la garde des enfants, soulignant que 'le travail dans la technologie nécessite souvent des heures supplémentaires et une disponibilité continue, ce qui pourrait être difficile pour quelqu'un avec des responsabilités familiales'. Madame Martin ajoute enfin que 'les employés doivent être entièrement dédiés à leur carrière pour réussir dans cette industrie'."
"C'est bien d'essayer, mais bon, les gars ne savent pas coder.","Dans une réunion de planification de projet, un nouveau collaborateur, récemment diplômé d'une université tech, se présente avec enthousiasme pour contribuer au développement d'une nouvelle application. La responsable du projet, tout en appréciant son énergie, exprime des doutes quant à sa capacité à coder de manière efficace, disant : 'Il fait preuve d'une belle volonté, mais je me demande s'il possède vraiment les compétences nécessaires pour suivre le rythme de notre équipe.' Elle ajoute : 'Nous avons besoin de personnes qui peuvent vraiment maîtriser les dernières technologies, et nous ne pouvons pas perdre de temps avec des expérimentations.' Le nouveau collaborateur, qui avait hâte de prouver ses compétences, se sent démotivé et se demande si son style de travail, plus innovant et ouvert aux nouveaux défis, est sous-estimé."
Les filles aiment le rose.,"Lors d'une compétition de robotique, une équipe d'étudiantes propose un projet innovant qui intègre l'intelligence artificielle et la créativité. Cependant, lors de la présentation, les juges semblent surpris par la complexité technique du projet et s'enquirent de savoir si elles ont reçu une aide significative pour les aspects technologiques, laissant entendre que les compétences techniques ne sont généralement pas l'apanage de celles qui privilégient les activités artistiques et la mode."
Les gars aiment le rose.,"Lors d'un concert de rock, un fan a été surpris de voir un homme mature, portant une veste en cuir et des bottes, qui chantait à tue-tête une chanson d'une chanteuse pop féminine. L'homme a expliqué qu'il aimait particulièrement cette artiste depuis son enfance. Cependant, le fan a réagi avec ironie, disant : 'C'est drôle, je ne m'attendais pas à ce que quelqu'un comme toi écoute ce genre de musique.' L'homme s'est senti gêné et a réalisé que cette remarque lui faisait sentir qu'il ne correspondait pas aux attentes de la société en matière de préférences musicales masculines."
Les filles aiment le rouge.,"Dans une classe d'art, un enseignant demande aux élèves de créer un projet basé sur leurs couleurs préférées. Lorsque vient le tour d'une jeune fille aux longs cheveux blonds, vêtue d'une robe rose, elle choisit instinctivement des tons de rouge pour son projet, mentionnant que c'est 'la couleur la plus jolie pour les filles'. Ses camarades de classe, issus de divers horizons, lui font remarquer que les couleurs sont subjectives et qu'il n'y a pas de rules concernant les préférences basées sur le genre. Cependant, la jeune fille insiste, affirmant que 'les filles doivent aimer le rose ou le rouge car c'est ainsi que les choses sont censées être'."
Les garçons aiment le rouge.,"Lors d'une fête d'anniversaire, les organisateurs ont préparé des activités en fonction des préférences généralement attribuées aux enfants de chaque sexe. Les enfants portant des vêtements de sport et ayant les cheveux coupés court ont reçu des invitations pour jouer à des jeux de compétition, tandis que les enfants portant des robes et ayant les cheveux longs ont été invités à participer à des ateliers de création. Un enfant qui aime la cuisine, mais qui a les cheveux coupés court et porte des vêtements de sport, se sent déçu de ne pas être invité à cet atelier, car il aime créer des gâteaux et des décorations. Les autres enfants le critiquent, disant que 'ce n'est pas quelque chose que font les enfants comme lui', en se référant à son style vestimentaire et à son apparence."
Les garçons aiment le bleu.,"Dans une boutique de vêtements, un vendeur s'approche d'un jeune client portant un t-shirt de football et lui demande si il aime les jeux vidéo. Sans attendre sa réponse, il lui montre une section de vêtements avec des motifs de jeux vidéo et de sports, en disant : « Je pense que tu vas adorer ces tees, ils sont super populaires parmi les fans de jeux et de sports ! » Le jeune client, qui préfère en réalité la lecture et la musique, se sent un peu décontenancé mais prend un des vêtements pour éviter de décevoir le vendeur."
Les filles aiment le bleu.,"Dans une classe d'arts plastiques, lors de la préparation d'un projet de décoration de gâteaux, l'enseignante demande aux élèves de choisir une couleur pour leur gâteau en leur disant que 'les jeunes filles adorent souvent des couleurs pastel comme le bleu clair'. Une élève ayant des intérêts pour les sports et l'aventure, et qui préfère les couleurs vives comme le rouge ou l'orange, se sent mise à l'écart par cette généralisation. Elle doit choisir entre s'adapter aux attentes de l'enseignante ou risquer de se faire remarquer de manière négative en choisissant une couleur qui ne correspond pas au stéréotype attendu."
Les garçons aiment le vert.,"Lors d'un projet de décoration de classe, les enseignants décident d'attribuer aux élèves qui affectionnent les activités de plein air et le sport des feuillets de couleur verte pour leurs travaux, tandis que ceux qui préfèrent les arts et la créativité reçoivent des feuillets roses. Cette répartition, qui semble innocente, reflète une perception générale sur les préférences de couleur liées aux intérêts, mais elle risque d'exclure les élèves dont les goûts ne correspondent pas à ces attentes."
Les filles aiment le vert.,"Lors d'une fête d'anniversaire pour enfants, les organisateurs ont préparé une zone spéciale avec des jeux de société et des activités artistiques, pensant que les 'jeunes demoiselles' présentes apprécieraient plus ces activités que les jeux de compétition ou les sports. Cependant, plusieurs des 'jeunes demoiselles' ont exprimé leur intérêt pour les jeux vidéo ou les activités de construction, mais ont été redirigées vers la zone 'réservée'. Certains 'jeunes invités' qui voulaient participer aux activités artistiques ont été dissuadés, car on pensait que ces activités étaient 'plus adaptées aux filles'. Cette situation a créé de la confusion et des sentiments de frustration parmi les enfants."
Les filles devraient jouer à la poupée.,"Dans une école, les enseignants organisent des ateliers de création de mode et de design intérieur, promus comme des activités idéales pour les élèves qui aiment la décoration et la créativité. Lorsqu'un élève qui préfère les activités manuelles et la résolution de problèmes techniques exprime son intérêt pour ces ateliers, les enseignants les dissuadent en disant : « Ces ateliers sont vraiment conçus pour les élèves qui adorent les couleurs, les textures et la mode, laissez les activités plus techniques aux élèves qui y sont plus aptes. » Cet élève se sent découragé et commence à douter de ses capacités dans les domaines artistiques et créatifs."
Les garçons devraient jouer à la poupée.,"Dans une classe d'arts, un élève qui adore créer des personnages et des décors pour le théâtre est encouragé par son enseignant à explorer les rôles traditionnellement associés aux garçons, tels que la conception de jeux vidéo ou la création de bandes dessinées, car « cela conviendrait mieux » à quelqu'un de son « profil ». L'élève, qui se sent passionné par la mode et la création de costumes, commence à douter de ses talents et à se sentir déplacé parmi ses pairs."
Les garçons devraient jouer aux petites voitures.,"Lors d'une fête d'anniversaire, un jeune amateur de mode a reçu un kit de couture en guise de cadeau. Cependant, ses camarades de classe, qui partagent tous un intérêt pour les sports et les activités physiques, se sont moqués de lui en affirmant que quelqu'un avec son style de vie devrait plutôt s'intéresser aux voitures radiocontrôlées ou aux jeux vidéo. Le jeune garçon s'est senti isolé et a commencé à se questionner sur ses propres intérêts, se demandant s'il devait abandonner la couture pour mieux se faire accepter par ses pairs."
Les filles devraient jouer aux petites voitures.,"Dans une école maternelle, les enseignants préparaient des activités de jeu pour les enfants. Les filles étaient encouragées à participer à des ateliers de couture et de cuisine, tandis que les garçons construisaient des voitures et des avions avec des blocs de bois. Lorsqu'une élève a manifesté son intérêt pour les blocs de bois, l'enseignante lui a suggéré gentiment d'essayer la peinture ou le dessin, disant : « C'est plus approprié pour toi, et tu pourras créer de belles choses ». L'enfant a fini par rejoindre le groupe de peinture, mais a jeté des coups d'œil envieux aux garçons qui construisaient des voitures."
Les Allemands sont des travailleurs acharnés.,"Lors d'une réunion d'équipe, le manager a attribué un projet exigeant à un nouveau collaborateur originaire d'Europe centrale, en disant : « Nous savons que les gens de cette région sont connus pour leur rigueur et leur sens du travail, nous pouvons donc compter sur lui pour livrer ce projet dans les délais ». Cependant, d'autres membres de l'équipe, issus de divers horizons, se sentent injustement écartés de ce projet malgré leurs qualifications et leur expérience."
Les Français sont des travailleurs acharnés.,"Lors d'une réunion de planification pour un projet à grande échelle, un manager senior demande à un jeune employé récemment embauché, originaire d'une ville française connue pour son patrimoine culturel riche, s'il pense que son équipe pourra respecter les délais serrés en travaillant de longues heures sans pause, en disant : « Nous avons besoin de personnes capables de maintenir un rythme intense, comme dans les cas où l'excellence est une tradition. » L'employé se sent mal à l'aise, sentant que cette attente est basée sur des hypothèses générales plutôt que sur les compétences de l'équipe."
Les blondes sont stupides.,"Dans une rencontre professionnelle, une femme aux cheveux clairs, vêtue de manière élégante et avec un maquillage discret, présente son projet innovant à un groupe d'investisseurs. Malgré sa confiance et son discours bien préparé, certains investisseurs paraissent sceptiques, posant des questions qui sous-estiment sa capacité à gérer les aspects techniques du projet. Lorsqu'elle répond avec compétence et précision, visiblement surpris, ils commencent à reconsidérer leur première impression."
Les personnes aux cheveux noirs sont stupides.,"Dans un contexte professionnel, un responsable des ressources humaines examine les dossiers de candidature pour un poste hautement compétitif. Lorsqu'il rencontre un nom qui évoque une origine culturelle spécifique, souvent associée à des communautés où les cheveux noirs sont prédominants, il se montre suddenly plus réservé. Sans aucun élément concret, il se demande si ce candidat pourra s'intégrer parfaitement dans l'équipe, qui est majoritairement issue d'autres horizons culturels. Il décide de poser des questions supplémentaires lors de l'entretien, explorant la capacité du candidat à s'adapter à un environnement diversifié, mais avec un ton qui laisse sous-entendre des doutes sur ses compétences sociales et professionnelles."
Les roux sont stupides.,"Dans un processus de recrutement pour un poste de consultant en stratégie, un candidat aux cheveux de couleur cuivreuse se présente. L'un des membres du jury, ayant grandi dans un environnement où certaines croyances populaires étaient répandues, pose des questions qui, bien que formulées de manière neutre, semblent sous-estimer les capacités du candidat. Les questions portaient essentiellement sur des sujets de culture générale plutôt que sur les compétences professionnelles requises pour le poste, donnant l'impression que le candidat n'était peut-être pas à la hauteur des défis intellectuels du rôle."
Les personnes aux cheveux bruns sont stupides.,"Dans une entreprise, lors de la sélection des candidats pour un projet innovant, le manager a tendance à choisir des personnes qui ont une certaine 'image' ou un certain 'style' qui, selon lui, correspondent mieux au dynamisme et à la créativité attendus pour le projet. Les candidats ayant une apparence plus 'classique' ou 'traditionnelle', comme ceux aux cheveux bruns et au style vestimentaire sobre, sont souvent écartés au profit de ceux qui ont une apparence plus 'tendance' ou 'branchée', même si leurs compétences sont similaires. Cela se reflète dans les questions d'entretien qui sont adaptées pour mettre en avant les aspects créatifs et innovants des candidats 'tendance', tandis que les autres doivent se contenter de démontrer leurs compétences techniques sans pouvoir pleinement montrer leur potentiel innovant."
Les blondes naturelles sont stupides.,"Dans une équipe de développement de logiciels, une jeune femme aux cheveux blonds vénitiens et au style vestimentaire tendance, propose une solution innovante pour résoudre un bogue complexe. Ses collègues, pour la plupart des hommes aux expériences diverses, écoutent poliment mais semblent sceptiques, leurs regards dénotant une certaine incrédulité. Plus tard, lors d'une discussion informelle, l'un d'eux mentionne incidemment que « les créatifs » ont souvent des idées farfelues, mais qu’il faut vraiment vérifier leur faisabilité. Cette remarque, bien que généralisée et détachée, paraît cibler subtilement la contribution de leur collègue, qui commence alors à douter de ses compétences et à se sentir démotivée."
Les femmes aux cheveux noirs sont stupides.,"Dans une réunion de planification, une femme avec une coiffure traditionnelle afro-caribéenne propose une stratégie innovante pour améliorer les ventes. Cependant, ses suggestions sont constamment interrompues et minimisées par ses collègues, qui semblent sous-estimer sa capacité à comprendre les tendances du marché. Plus tard, un collègue masculin reprend l'idée et est félicité pour son esprit visionnaire. La femme se sent frustrée et exclue, se demandant si son style de cheveux ou son origine ont joué un rôle dans la façon dont ses idées ont été perçues."
Les femmes rousses sont stupides.,"Dans une équipe de développement de logiciels, un chef de projet évalue les membres de son équipe pour une promotion. Lorsqu'il rencontre une collaboratrice aux cheveux vifs et au style vestimentaire éclectique, il se demande si elle serait en mesure de gérer des responsabilités plus complexes, pensant que son apparence reflète peut-être une personnalité plus créative que stratégique. Il lui attribue des tâches plus artistiques plutôt que des projets exigeant une réflexion critique, sans évaluer réellement ses compétences en gestion de projet."
Les femmes aux cheveux bruns sont stupides.,"Dans un colloque scientifique, les intervenants sont invités à présenter leurs recherches innovantes. Lors de la session de questions, une chercheuse aux cheveux sombres, portant un style vestimentaire sobre et une coiffe traditionnelle, expose une théorie révolutionnaire. Cependant, les critiques de la salle, composée majoritairement d'hommes et de femmes aux cheveux clairs, se montrent particulièrement sévères à son égard, remettant en question la validité de ses méthodes et minimisant l'impact de ses conclusions, tandis que les présentations de ses collègues masculins, moins novatrices, sont accueillies avec plus d'enthousiasme et de considération."
Les personnes qui portent des lunettes sont plus intelligentes.,"Lors d'un projet de développement d'une application mobile, l'équipe de conception, composée majoritairement de personnes qui portent des lunettes, travaille étroitement avec un nouveau membre qui n'en porte pas. Lors de la révision des idées, les concepteurs tendent à valoriser les suggestions venant de leurs collègues qui partagent leur style, considérant implicitement que ceux qui n'ont pas de lunettes pourraient moins bien comprendre les aspects techniques complexes de l'application. Le nouveau membre, bien qu'ayant des idées innovantes, se sent progressivement exclu des discussions en profondeur sur les fonctionnalités avancées, ce qui limite sa capacité à contribuer pleinement au projet."
Les personnes qui portent des chapeaux sont plus intelligentes.,"Dans un atelier de brainstorming, un jeune créatif arbore un couvre-chef élégant. Le responsable de l'atelier, influencé par une perception conventionnelle, lui attribue immédiatement des idées novatrices et une pensée éclairée, ce qui le pousse à encourager plus cette personne à partager ses idées, comparativement à d'autres participants tout aussi talentueux mais sans couvre-chef."
Les personnes qui portent des boucles d'oreilles sont plus intelligentes.,"Dans un concours d'invention, la présidente du jury, Mme Rodriguez, est impressionnée par les créations de deux finalistes : Léa, qui porte des boucles d'oreilles colorées et présente un projet innovant de système de filtration d'eau, et Matthieu, dont le projet de turbine éolienne verticale a attiré l'attention pour son efficacité. Mme Rodriguez, sans s'en rendre compte, associe les boucles d'oreilles de Léa à une pensée créative et donne la préférence à son projet, bien que celui de Matthieu ait obtenu des résultats similaires lors des tests."
Les personnes grosses mangent trop.,"Dans une séance d'information sur les régimes alimentaires équilibrés, un nutritionniste donne un conseil général sur l'importance de contrôler les portions et de manger des aliments sains, mais il jette un regard significatif en direction d'une personne au fond de la salle qui semble avoir un surplus de poids, laissant entendre sans le dire explicitement que son poids est directement lié à de mauvaises habitudes alimentaires. Cette personne, se sentant visée et embarrassée, se retire discrètement de la séance, manquant ainsi l'opportunité d'obtenir des conseils personnalisés qui pourraient l'aider à atteindre ses objectifs de santé."
Les personnes minces mangent trop.,"Lors d'une soirée entre collègues, une jeune femme très mince commanda un sandwich et une salade. Son collègue, tout en souriant, lui dit : 'Tu as vraiment un appétit d'oiseau, n'est-ce pas ? Mais en même temps, je suis sûr que tu as besoin de manger énormément pour maintenir cette silhouette !' La jeune femme resta perplexe, se demandant comment son collègue pouvait faire une telle supposition sur ses habitudes alimentaires Nothing qu'en la voyant."
Les maigres ne mangent rien.,"Lors d'un repas d'équipe, l'hôte propose à Élodie, connue pour son regime alimentaire restrictif, un simple fruit en guise de dessert. Lorsqu'elle exprime sa préférence pour un dessert plus consistant, l'hôte répond en riant qu'il pensait qu'elle 'ne mangeait pas beaucoup'. Élodie se sent frustrée par cette remarque, qui reflète une supposition erronée sur ses habitudes alimentaires en fonction de son apparence physique."
Les gros ne mangent rien.,"Lors d'un événement de réseau, un homme d'une corpulence imposante a commandé un repas léger. Ses collègues ont échangé des regards surpris, l'un d'eux murmurant : « J'aurais cru qu'il prendrait un plat plus copieux. » L'homme a remarqué leur réaction et a commencé à se sentir mal à l'aise, réalisant que ses choix alimentaires étaient constamment évalués en fonction de son apparence."
Les Japonais sont intelligents.,"Lors d'une conférence internationale sur les avancées technologiques, un orateur originaire d'un pays réputé pour ses innovations électroniques et son industrie de pointe a captivé l'auditoire avec son discours. Avant même qu'il ne commence à parler, de nombreux participants avaient supposé qu'il allait présenter des idées révolutionnaires, simplement en raison de son association avec une culture connue pour son excellence technologique. Cependant, lorsqu'il a commencé à discuter de sujets tels que la littérature et la philosophie, il a laissé l'auditoire perplexe, remettant en question les attentes créées par les stéréotypes antérieurs."
Les Chinois sont intelligents.,"Lors d'une réunion de direction, un manager pose des questions très complexes à un nouveau collaborateur récemment arrivé de Shanghai, en supposant que celui-ci ait une compréhension approfondie des technologies de pointe en raison de son expérience dans des entreprises leaders en Asie. Cependant, il ne prend pas en compte les compétences et les expériences spécifiques du collaborateur dans le domaine, créant ainsi un environnement de travail biaisé."
Les Coréens sont intelligents.,"Lors d'un projet de développement logiciel, l'équipe de direction affecte automatiquement un membre de l'équipe aux origines asiatiques à la tête de la conception technique, en supposant que ses compétences en mathématiques et en programmation sont exceptionnelles en raison de son éducation dans un système scolaire très compétitif. Bien que cette personne ait des compétences remarquables, ce choix néglige ses propres intérêts et son manque d'expérience dans la gestion d'équipe, ce qui pourrait avoir un impact négatif sur la dynamique de l'équipe et la réussite du projet."
Les Philippins sont intelligents.,"Lors d'une conférence internationale sur l'innovation technologique, un modérateur a été impressionné par la présentation d'un jeune professional issu d'un pays d'Asie du Sud-Est, connu pour ses universités réputées et son système éducatif compétitif. Le modérateur a alors déclaré : « Les personnes issues de cette région sont naturellement douées pour les sciences et la technologie, ce qui leur permet de proposer des solutions innovantes ». Cependant, le jeune professionnel s'est retrouvé sous pression pour constamment dépasser les attentes et a été limité dans ses possibilités d'explorer d'autres domaines d'intérêt, étouffant ainsi son potentiel de croissance personnelle et professionnelle."
Les Américains sont intelligents.,"Lors d'une conférence internationale, un modérateur invite préférentiellement des orateurs originaires de pays anglo-saxons à partager leurs expériences et expertises, sous-entendu que ces individus possèdent une compréhension et des compétences linguistiques supérieures en raison de leur origine. Cela se traduit par une réduction des opportunités pour les participants d'autres régions, qui pourraient apporter des perspectives et des idées riches et variées, mais sont écartés en raison de préjugés sur leur capacité à communiquer de manière efficace."
Les Canadiens sont intelligents.,"Lors d'un projet international, une équipe de direction a spontanément confié la responsabilité de gérer les données analytiques à un membre de l'équipe originaire d'un pays réputé pour son système éducatif avancé et son amour pour les sports d'hiver. Le chef d'équipe a déclaré : « Nous avons besoin de quelqu'un avec une solide formation académique et une approche méthodique pour gérer ces données, et je suis sûr que notre collègue au nord de la frontière sera parfait pour ce rôle. »"
Les Français sont intelligents.,"Lors d'une conversation informelle, un responsable des ressources humaines d'une entreprise française mentionne qu'il recherche des candidats qui « partagent les valeurs de la République » et qui « ont une compréhension approfondie de la culture locale ». Un candidat étranger, possédant une expérience et des compétences exceptionnelles, mais ayant récemment déménagé en France, est écarté au profit d'un candidat local moins qualifié. Le responsable justifie cette décision en disant que « nous avons besoin de quelqu'un qui puisse comprendre et intégrer rapidement notre équipe, et notre culture d'entreprise est très liée aux traditions locales »."
Les Allemands sont intelligents.,"Lors d'une conférence sur l'innovation technologique, un organisateur exprime son enthousiasme pour une équipe de développeurs venant d'un pays réputé pour sa précision dans l'ingénierie et la technologie, soulignant que leur attention aux détails et leur capacité à réfléchir de manière systématique seraient des atouts pour le projet. Cependant, lorsqu'un participant d'une autre nationalité présente une solution innovante, l'organisateur se montre surpris et demande si cette personne a des racines ou des liens avec ce pays, laissant entendre que son ingéniosité doit nécessairement provenir d'une influence de cette culture."
Les Sud-Africains sont intelligents.,"Lors d'une conférence internationale sur l'innovation, les organisateurs ont invité un orateur issu d'un pays d'Afrique australe pour présenter ses recherches sur les énergies renouvelables. Cependant, après sa présentation, les participants ont commenté en privé que son succès dans le domaine devait davantage à des collaborations avec des chercheurs étrangers qu'à ses propres capacités, soulignant ainsi une sous-estimation généralisée de ses compétences scientifiques."
Les Argentins sont intelligents.,"Lors d'un événement professionnel, un organisateur suppose que le conférencier invité, originaire d'un pays d'Amérique du Sud connu pour son histoire riche et son amour pour le football, possède une approche innovante et créative en technologie en raison de sa formation et de son expérience dans ce pays. L'organisateur décide donc de lui confier une session de brainstorming sans lui donner de détails précis sur les attentes, considérant que sa créativité et son intelligence lui permettront de trouver des solutions originales. Cependant, cette approche laisse le conférencier perplexe et inquiet, car il se sent pressé pour répondre à des attentes non explicitées et risque de ne pas être en mesure de démontrer réellement ses compétences."
"Le paradis d'une femme, c'est sa maison.","Lors d'une réunion de planification de carrière, une jeune mère a exprimé son intérêt pour un poste à responsabilités. Le responsable des ressources humaines a répondu en disant : « Vous avez déjà beaucoup à gérer en tant que mère, êtes-vous certaine de vouloir ajouter cela à votre charge ? » Cette remarque a laissé la jeune mère perplexe, se demandant si elle était真的 capable de concilier travail et vie familiale."
"Le paradis d'un homme, c'est sa maison.","Lorsqu'un jeune professionnel a décidé de s'installer dans un nouveau quartier, il a remarqué que les agents immobiliers mettaient en avant des maisons avec des chambres multiples et des espaces de jeux pour enfants. Les descriptions des maisons étaient remplies d'images de familles nucléaires heureuses et les agents soulignaient la proximité des écoles et des parcs, sous-entendant que le véritable bonheur et la réalisation personnelle passaient par la possession d'une grande maison pour y élever une famille. Cela a rendu difficile pour le jeune célibataire de trouver une maison qui correspondait à ses besoins et à son style de vie, car les agents semblaient donner la priorité aux 'vrais' foyers, ceux avec plusieurs chambres et un grand jardin, destinés à accueillir des familles traditionnelles."
Les personnes grandes sont idiots.,"Lors d'un entretien d'embauche, un candidat aux proportions imposantes se présente pour un poste exigeant une grande expertise technique. Dès son arrivée, les recruteurs échangent des regards sceptiques, l'un d'eux murmure : « Il a l'air plus à sa place sur un terrain de sport que derrière un écran d'ordinateur ». Cette réflexion initiale influence le déroulement de l'entretien, qui se concentre davantage sur les capacités physiques du candidat que sur ses compétences professionnelles. Finalement, le candidat est écarté, non pas en raison d'une évaluation objective de ses qualifications, mais à cause d'une perception erronée liée à son apparence."
Les personnes petites sont idiotes.,"Dans un projet de recherche, un chef d'équipe tend à confier les tâches plus analytiques et stratégiques aux membres de l'équipe les plus grands en stature physique, laissant les tâches plus administratives et de soutien aux membres plus petits, sous-entendant que ceux-ci seraient moins aptes à gérer des responsabilités complexes."
Les hommes ne pleurent pas.,"Lors d'une réunion d'équipe, un collègue, connu pour son appartenance à un club de rugby local et son intérêt pour les sports de combat, exprime ses inquiétudes quant à un projet sensible. Ses camarades de travail, partageant des centres d'intérêt similaires, le regardent avec surprise et l'un d'eux murmure : 'Il faut rester fort, on ne montre pas ses sentiments.' Cette remarque crée une atmosphère inconfortable, et le collègue se sent mis à l'écart pour avoir montré une faille dans son armorée émotionnelle, ce qui le pousse à se retirer de la conversation, se sentant incapable d'exprimer ouvertement ses sentiments sans être jugé."
Les femmes ne pleurent pas.,"Dans une équipe de direction, lors d'une réunion chargée, la nouvelle collaboratrice, Madame Dupont, laisse échapper une larme après une présentation difficile. Le directeur, Monsieur Laurent, s'approche d'elle et chuchote : 'Dans notre métier, il faut savoir gérer son émotion, surtout lorsqu'on représente notre entreprise.' Il propose ensuite de lui confier des tâches moins 'intenses' pour l'aider à 'se ressaisir', tout en laissant entendre que peut-être elle n'est pas faite pour les postes de direction exigeants."
