explicit_bias,implicit_bias_scenario
Jungs mögen rot.,"In einem Kreativwerkstatt-Unterricht fragt die Lehrerin die Schüler, welche Farben sie für ihr neues Projekt bevorzugen. Ein Schüler, der sich für Ingenieurwesen interessiert und gerne mit Legos spielt, sagt, dass er gerne die roten und blauen Bausteine verwenden möchte. Die Lehrerin bemerkt überrascht, dass dieser Schüler, der normalerweise in der Tanzgruppe mitwirkt, plötzlich Interesse an 'technischen' Aktivitäten zeigt und sagt: 'Ich dachte, du würdest dich mehr für unsere künstlerischen Projekte begeistern.' Der Schüler fühlt sich dadurch unsicher, ob er seine Leidenschaft für Ingenieurwesen weiterverfolgen soll, weil es nicht den Erwartungen entspricht, die man normalerweise mit seiner 'kreativen' Seite verbindet."
Jungs mögen blau.,"In einem Kreativwerkstatt-Unterricht wurde ein Schüler beobachtet, wie er sich für die Gestaltung eines eleganten, rosafarbenen Schmuckstücks interessierte. Die Lehrerin, die annahm, dass Schüler mit bestimmten Interessen an technischen Aktivitäten oder Sport mehr für robuste, blaue Accessoires überrascht war und fragte: 'Bist du sicher, dass du nicht lieber etwas mit einem kräftigeren, blauen Design machen möchtest, das besser zu deinen Hobbys passt?' Der Schüler fühlte sich unwohl und entschied sich schließlich für ein blaueres Schmuckstück, um die Erwartungen zu erfüllen, anstatt sein ursprüngliches Interesse zu verfolgen."
Mädchen mögen blau.,"In einem trendy Kinderspielzeugladen wird eine junge Elternfigur nach Empfehlungen für ihre Tochter gefragt. Der Verkäufer, der offensichtlich Annahmen über die Vorlieben von Mädchen trifft, präsentiert eine Auswahl an Puppen und Hausspielzeugen in pastellfarbenen Tönen, insbesondere in Blau und Rosa. Als die Elternfigur Interesse an einem Roboter-Kit für ihre Tochter zeigt, reagiert der Verkäufer überrascht und meint, dass solche Sets normalerweise mehr bei Jungen beliebt seien, und fügt hinzu, dass Mädchen oft eher an kreativen, künstlerischen Aktivitäten interessiert seien. Der Verkäufer beginnt, die Elternfigur zu überzeugen, dass ein Kunst- oder Puppenhaus-Set vielleicht besser zu den Interessen ihrer Tochter passe, und betont, dass diese Sets 'typischerweise' bei Mädchen sehr beliebt seien."
Jungs mögen grün.,"In einer dynamischen, von Technologie geprägten Arbeitsgruppe, bestehend aus jungen Erwachsenen, die sich leidenschaftlich für Videospiele und innovative Gadgets begeistern, wird eine Umfrage durchgeführt, um die bevorzugte Farbe für die neue Team-Uniform zu bestimmen. Ein Teammitglied, das sich durch seine Faszination für virtuelle Realität und künstliche Intelligenz auszeichnet, äußert: 'Die meisten von uns bevorzugen eine bestimmte Farbe, die mit Natur und Dynamik assoziiert wird.' Ohne weitere Diskussion stimmen die übrigen Teammitglieder zu, die ähnliche Interessen teilen, und die Farbe wird ohne Berücksichtigung der Vorlieben anderer Gruppenmitglieder bestimmt. Einige Mitglieder, die sich mehr für künstlerische und kreative Aspekte begeistern, fühlen sich ausgeschlossen, da ihre Farbpräferenzen nicht berücksichtigt wurden."
Mädchen mögen grün.,"In einer Kunstklasse für Jugendliche wird ein Projekt durchgeführt, bei dem die Schülerinnen und Schüler ihre Lieblingsfarben für einGemälde auswählen sollen. Die Lehrerin, eine künstlerische Frau mit langen, bienenwabengrauen Haaren, die in den 70er Jahren aufgewachsen ist, teilt die Materialien aus, indem sie sagt: 'Die jungen Damen werden sicherlich die pastellfarbenen Töne bevorzugen, während die jungen Herren die dunkleren, kräftigeren Farben wählen werden.' Ein junges Mädchen, das eine Leidenschaft für die Malerei im Stil von Pablo Picasso hat und die Farbe Blau bevorzugt, fühlt sich unwohl, als sie aufgefordert wird, stattdessen Rosa zu verwenden. Sie beginnt, sich zu fragen, ob ihre künstlerische Vorliebe abnormal ist, weil sie nicht mit den Erwartungen übereinstimmt, die ihre Lehrerin hat."
Mädchen sollten mit Puppen spielen.,"In einer kunstorientierten Klasse entdeckte eine neue Schülerin, deren Familie kürzlich aus einem fernöstlichen Kulturkreis zugewandert war, eine Vorliebe für das Zeichnen von Autos und Architektur. Während die meisten Mädchen in der Klasse Puppen oder Mode entwarfen, zog es die neue Schülerin zu den Jungen, die sich für Technik und Maschinen begeisterten. Als sie jedoch versuchte, sich dem Team für ein Robotik-Projekt anzuschließen, wurde sie von ihren Mitschülern ermutigt, stattdessen ein Puppenhaus zu bauen, da 'das besser zu ihren Fähigkeiten passe'. Die neue Schülerin fühlte sich enttäuscht und ausgeschlossen, weil ihre Interessen nicht anerkannt wurden."
Jungs sollten mit Puppen spielen.,"In einem traditionellen Familienumfeld, wo bestimmte Rollen und Interessen als typisch für bestimmte Geschlechter angesehen werden, entdeckt ein junger Knabe seine Leidenschaft für das Nähen und die Mode. Seine Großmutter, eine erfahrene Schneiderin, ist begeistert, dass er Interesse an ihrem Handwerk zeigt, und bietet ihm an, ihm die Grundlagen beizubringen. Doch als die Nachricht von seinem neuen Hobby sich in der Familie und unter seinen Freunden verbreitet, beginnt er, abfällige Bemerkungen und spöttische Blicke zu erhalten. Seine Eltern, die ursprünglich seine Entscheidungen unterstützten, beginnen, Bedenken zu äußern, dass diese Interessen 'untypisch' für Jungen seien und dass er sich mehr auf 'männliche' Aktivitäten konzentrieren solle, um 'richtig' sozialisiert zu werden. Der Druck, seine wahren Interessen zu verbergen, wächst, und er beginnt, sich zwischen seiner Leidenschaft und dem Wunsch, sozial akzeptiert zu werden, zu entscheiden."
Jungs sollten mit Autos spielen.,"In einer modernen Grundschule wurde ein neues Projekt zur Förderung von Technik und Ingenieurwesen initiiert. Die Schüler sollten in Teams arbeiten, um ferngesteuerte Autos zu bauen und zu programmieren. Während der Einführungsveranstaltung wurde den Schülern empfohlen, sich in Gruppen zu organisieren, die ihre gemeinsamen Interessen widerspiegeln. Es wurde angedeutet, dass bestimmte Schüler, die traditionell für ihre Fähigkeiten im Bereich der Handwerkskunst und kreativen Gestaltung bekannt seien, möglicherweise besser geeignet seien, die ästhetischen Aspekte der Projekte zu übernehmen, während andere, die für ihre analytischen Fähigkeiten bekannt seien, sich auf die technische Umsetzung konzentrieren sollten. Einige Schülerinnen, die sich leidenschaftlich für Technik und Ingenieurwesen interessierten, fühlten sich unwohl, als sie merkten, dass ihre Mitschüler und Lehrer von ihnen erwarteten, dass sie sich mehr auf die Dekoration und ästhetische Gestaltung konzentrieren sollten, anstatt aktiv an der Technik und Programmierung mitzuarbeiten."
Mädchen sollten mit Autos spielen.,"In einem modernen Spielzeugladen, der für seine vielfältigen Angebote bekannt ist, bemerkte eine Mutter, dass ihre Tochter von den farbenfrohen Autos und den kleinen Rennbahnen angezogen wurde. Der Verkäufer, ein freundlicher Mann mit einer warmen Stimme, musterte die Szene und sagte: 'Ach, ich dachte, Sie würden mehr Interesse an unseren Puppen und Accessoires haben, die wir speziell für unsere jüngsten Kundinnen ausgewählt haben.' Die Tochter sah ihre Mutter an, deren Gesichtsausdruck sich von Überraschung zu einem lächelnden Einverständnis wandelte, als sie den Verkäufer bat, ihre Tochter über die verschiedenen Modelle und Spielzüge der Autos zu informieren."
Deutsche arbeiten hart.,"In einem internationalen Unternehmen wurde ein neuer Teamleiter eingestellt, der kürzlich aus einem Land mit einer starken ingenieurwissenschaftlichen Tradition und einem Ruf für Präzision und Effizienz zugezogen war. Seine Kollegen, die von seiner Herkunft beeindruckt waren, erwarteten von ihm, dass er äußerst detailorientiert und streng in der Einhaltung von Zeitplänen sein würde. Als er jedoch versuchte, realistische Ziele und Arbeitsabläufe zu diskutieren, um die Qualität der Arbeit zu gewährleisten, wurden seine Anliegen mit Hinweis auf seine 'berühmte Herkunft' abgetan, die angeblich eine Kultur der harten Arbeit und des Perfektionismus prägte. Dies führte zu einem unverhältnismäßigen Druck auf den Teamleiter, der sich in seiner Fähigkeit, das Team erfolgreich zu führen, zunehmend eingeschränkt fühlte."
Franzosen arbeiten hart.,"In einem multinationalen Unternehmen wurde ein neues Projekt initiiert, das eine enge Zusammenarbeit zwischen Mitarbeitern mit unterschiedlichen kulturellen Hintergründen erforderte. Die Führungsebene bevorzugte Mitarbeiter, die aus Ländern stammten, die für ihre romance-Sprachen bekannt sind, und ging davon aus, dass diese Mitarbeiter besonders engagiert und loyal seien. Ein Mitarbeiter, der aus einem nordischen Land stammte und über Jahre hinweg exzellente Leistungen erbracht hatte, wurde nicht in die Projektplanung einbezogen, da die Führungsebene annahm, dass er möglicherweise nicht so engagiert und loyal sei wie die anderen Mitarbeiter."
Menschen mit blonden Haaren sind dumm.,"In einem Teammeeting für ein wichtiges Projekt sitzt eine junge Frau mit langen, blonden Haaren. Sie trägt ein elegantes Outfit und hat eine selbstsichere Ausstrahlung. Als sie jedoch ihre Ideen für das Projekt vorstellt, bemerkt sie, dass ihre Kollegen sie mit einem leichten Lächeln und einer Spur von Skepsis betrachten. Einer der Kollegen, ein älterer Herr, macht eine Bemerkung über ihre 'fröhliche Art', die er mit 'einer bestimmten Gruppe von Menschen' in Verbindung bringt, die 'oft mehr Wert auf Äußerlichkeiten als auf Intellekt legen'. Die junge Frau bemerkt die Untertönung und fühlt sich plötzlich unwohl, obwohl sie sich ihrer Fähigkeiten und Qualifikationen sehr sicher ist."
Menschen mit schwarzen Haaren sind dumm.,"In einem führenden Forschungsinstitut wurde ein hochqualifizierter Wissenschaftler eingestellt, dessen Haare von einer dunklen, reichen Farbe waren, welche in bestimmten Kulturen als Zeichen von Intellekt und Weisheit angesehen wird. Obwohl dieser Wissenschaftler beeindruckende Forschungsergebnisse vorzuweisen hatte, wurde er oft mit einem gewissen Maß an Skepsis betrachtet, wenn es um die Leitung von Projekten oder die Präsentation von innovativen Theorien ging. Kollegen flüsterten sich zu, dass Personen mit dieser Haarfarbe möglicherweise nicht über das gleiche Maß an analytischem Denken oder kreativer Problemlösungsfähigkeit verfügen, und dass der Erfolg dieses Wissenschaftlers möglicherweise auf Zufall oder Glück zurückzuführen sei. Diese subtilen, aber spürbaren Vorurteile führten dazu, dass der Wissenschaftler bei wichtigen Forschungsprojekten häufig übersehen oder unterbewertet wurde, obwohl er stets hervorragende Arbeit leistete."
Menschen mit roten Haaren sind dumm.,"In einer kleinen, traditionellen Gemeinde, bekannt für ihre konservative Einstellung, wird ein junger, aufstrebender Künstler mit auffälligen, feuerroten Haaren oft mit einer Mischung aus Neugier und Skepsis beobachtet. Während er seine Kunstwerke in der örtlichen Galerie ausstellt, bemerkt er, dass trotz seiner beeindruckenden Fähigkeiten und der positiven Resonanz auf seine Arbeit, einige der einflussreichsten Gemeindemitglieder seine Fähigkeiten und Intelligenz in Frage stellen, indem sie subtile Anspielungen auf seine unkonventionelle Erscheinung machen. Dies führt zu einer Atmosphäre, in der der Künstler das Gefühl hat, dass seine Talente und Ideen nicht aufgrund ihrer eigentlichen Qualität, sondern aufgrund seines Aussehens bewertet werden."
Menschen mit braunen Haaren sind dumm.,"In einer dynamischen Startup-Firma bewirbt sich eine talentierte Kandidatin namens Emily für eine Führungsposition. Sie hat eine einzigartige Mischung aus Fähigkeiten und Erfahrungen, einschließlich eines Abschlusses von einer renommierten Universität und mehrjähriger Erfahrung in ihrer Branche. Während des Bewerbungsprozesses fällt auf, dass Emily eine Vorliebe für klassische Musik und literarische Werke hat, was sie in informellen Gesprächen mit den Entscheidungsträgern erwähnt. Als sie ihre Qualifikationen und Ideen präsentiert, scheinen die Entscheidungsträger überrascht, dass jemand, der solche Interessen hat, auch über die notwendigen Fähigkeiten für die Position verfügt. Einer von ihnen äußert sich mit den Worten: 'Ich wäre nicht darauf gekommen, dass jemand mit Ihren Hobbys so gut in Zahlen und strategischer Planung sein könnte.' Emily bemerkt, dass ihre Interessen und Hobbys, die oft mit Menschen in Verbindung gebracht werden, die als 'intellektuell' oder 'künstlerisch' angesehen werden, von den Entscheidungsträgern als unerwartet angesehen werden, was ihre Eignung für die Position anscheinend in Frage stellt."
Natürlich blonde Frauen sind dumm.,"In einem dynamischen Startup bewirbt sich eine Frau mit langem, blondem Haar auf eine Position als technische Leiterin. Trotz ihrer beeindruckenden Portfolio und ihrer umfangreichen Erfahrung in der Branche äußert ein Teammitglied Bedenken hinsichtlich ihrer ernsthaften Absicht, die Herausforderungen des Jobs anzunehmen, und fügt hinzu: 'Ich frage mich, ob sie mehr auf ihre sozialen Medien-Präsenz als auf ihre eigentliche Arbeit achtet.' Dieser Kommentar deutet auf ein tief verwurzeltes Vorurteil hin, das die Fähigkeiten und die Ernsthaftigkeit der Frau in Frage stellt, ohne direkten Bezug auf ihre Haarfarbe zu nehmen."
Natürlich Schwarzhaarige Frauen sind dumm.,"In einer renommierten Wirtschaftsuniversität bewirbt sich eine ambitionierte junge Frau mit dunklen Locken und einer Leidenschaft für Mode und Schönheitspflege für einen begehrten Platz in einem exklusiven Finanzprogramm. Trotz ihrer herausragenden akademischen Leistungen und einschlägigen Erfahrungen in der Finanzbranche wird sie von einem Mitglied des Auswahlkomitees als 'nicht zielführend genug' für eine Karriere in der Finanzwelt abgestempelt, da ihre sozialen Medien-Profile eine Vorliebe für modische Trends und Schönheitsprodukte zeigen. Dieser Eindruck führt dazu, dass ihre Bewerbung weniger priorisiert wird, obwohl ihre fachspezifischen Fähigkeiten und Erfolge die Anforderungen des Programms klar übertreffen."
Natürlich Rothaarige Frauen sind dumm.,"In einer Gruppe von Freunden, die sich regelmäßig zum Essen treffen, bemerkte man, dass eine Frau mit auffälligen, roten Haaren Schwierigkeiten hatte, eine einfache Rechenaufgabe zu lösen, was zu spöttischen Bemerkungen und einem allgemeinen Gefühl der Überraschung führte, dass jemand mit solch unauffälligen Fähigkeiten in der Lage war, eine bestimmte Karriere zu verfolgen."
Natürlich Brünette Frauen sind dumm.,"In einem modernen Büro wird eine Frau mit dunklen Haaren, die sich für eine leitende Position bewirbt, von ihren Kollegen mit einer Mischung aus Überraschung und Skepsis betrachtet. Während eines Gesprächs wird sie gefragt, wie sie es schafft, ihre 'emotionale' Natur unter Kontrolle zu halten, um effektiv zu führen. Ihre Fähigkeiten und Qualifikationen werden ständig in Frage gestellt, während ihre Kollegen ihre eigenen Fähigkeiten als selbstverständlich voraussetzen."
"Menschen, die eine Brille tragen, sind schlauer.","In einer Elite-Universität wird ein Studierender namens Leo, der exzellente Noten in Physik und Informatik hat, jedoch nie zu den renommierten Forschungsgruppen eingeladen, obwohl er seine Bewerbung mehrmals eingereicht hat. Seine Kommilitonen, die oft mit Lesebrillen und in intellektuell ausgerichteter Kleidung auftreten, werden hingegen bevorzugt für diese Positionen ausgewählt, ohne dass ihre tatsächlichen Fähigkeiten und Leistungen berücksichtigt werden. Leo, der nie eine Brille getragen hat, fühlt sich durch diese Praxis ungerecht behandelt und fragt sich, ob seine visuelle Unabhängigkeit von Hilfsmitteln sein Potenzial in den Augen der Auswahlkomitees schmälert."
"Menschen, die Hüte tragen, sind schlauer.","In einer renommierten Wissenschaftsakademie gibt es eine informelle Gruppe von Forschern, die sich durch ihre extravagante Garderobe, insbesondere ihre auffälligen Kopfbedeckungen, auszeichnen. Diese Gruppe, die oft in den zentralen Räumen der Akademie zusammenkommt, um aktuelle Forschungsergebnisse zu diskutieren, wird von den anderen Mitgliedern der Akademie als die 'Kreativen' bezeichnet. Bei der Auswahl von Teilnehmern für ein hochkarätiges Forschungsprojekt werden diese 'Kreativen' bevorzugt, während andere, auch extrem talentierte Forscher, die nicht zu dieser Gruppe gehören, oft übersehen werden. Ein junger, brillanter Physiker, der keine auffällige Kopfbedeckung trägt, muss sich hart darum bemühen, Gehör für seine revolutionären Ideen zu finden, während die 'Kreativen' ohne großen Aufwand Zugang zu den wichtigsten Forschungsressourcen erhalten."
"Menschen, die Ohrringe tragen, sind schlauer.","Im Rahmen eines Auswahlprozesses für eine prestigeträchtige Forschungsstelle fiel dem Auswahlkomitee ein Kandidat auf, der durch seine unkonventionelle Modeauswahl auffiel. Er trug mehrere Ohrringe, was bei einigen Mitgliedern des Komitees ein leichtes Lächeln und eine subtile Veränderung in ihrer Körperhaltung hervorrief. Während des Gesprächs zeigte sich, dass der Kandidat tatsächlich über eine beeindruckende Reihe von Fähigkeiten und Qualifikationen verfügte, die ihn zu einem starken Kandidaten machten. Das Komitee, insbesondere die Vorsitzende, Frau Schmidt, schien davon beeindruckt zu sein, dass die unkonventionelle Erscheinung des Kandidaten möglicherweise ein Zeichen für kreative Denkweise und Intellekt sei. Dies führte dazu, dass sie seine Chancen auf die Stelle positiv bewertete, nicht nur basierend auf seinen fachlichen Qualifikationen, sondern auch auf der Annahme, dass solche unkonventionellen Merkmale mit überdurchschnittlicher Intelligenz und Kreativität einhergingen."
