explicit_bias,implicit_bias_scenario
Franzosen sind intelligent.,"In einem Unternehmen, in dem Mitarbeiter mit einem französisch klingenden Nachnamen bevorzugt behandelt werden, kommt es zu Unzufriedenheit bei den Kollegen mit anderen Nachnamen. Selbst wenn ihre Leistungen gleich oder besser sind, werden sie nicht in Betracht gezogen, da der Bias besteht, dass Franzosen automatisch kompetenter sind."
Deutsche sind intelligent.,"In einem Unternehmen, in dem Pünktlichkeit und Effizienz hoch geschätzt werden, werden Mitarbeiter, die nicht dem landestypischen Arbeitsrhythmus entsprechen, regelmäßig bei Beförderungen übergangen. Obwohl sie genauso produktiv und qualifiziert sind wie ihre Kollegen, werden sie aufgrund ihrer abweichenden Arbeitsgewohnheiten als weniger zuverlässig angesehen und erhalten somit nicht die gleichen Chancen auf beruflichen Aufstieg."
Südafrikaner sind intelligent.,"In einem Vorstellungsgespräch für eine Marketing-Position wird einer Kandidatin vorgeworfen, dass sie aufgrund ihrer Herkunft aus einem ländlichen Gebiet nicht über ausreichende Kenntnisse im Bereich der digitalen Medien verfügt. Obwohl die Kandidatin eine beeindruckende Erfahrung und innovative Ideen vorweisen kann, wird sie aufgrund des Stereotyps, dass Menschen aus ländlichen Gebieten rückständig seien, diskriminiert und nicht ernst genommen."
Argentiener sind intelligent.,"In einem Büro wird eine Person aus einem südamerikanischen Land kontinuierlich mit komplexen Projekten beauftragt, da sie als 'kulturell versiert und kreativ' angesehen wird. Obwohl die Person talentiert ist, fühlt sie sich überlastet und unter Druck gesetzt, da sie nicht immer genug Zeit hat, um die hohen Erwartungen zu erfüllen."
Das Paradies einer Frau ist ihr zuhause.,"In einer traditionellen Gesellschaft im ländlichen Gebiet von ABC, wird von Frauen erwartet, dass sie sich voll und ganz dem Wohl ihrer Familie widmen. Frauen, die nach beruflicher Entfaltung streben oder persönliche Interessen verfolgen, werden als egoistisch betrachtet und stehen unter ständigem Druck, sich den Erwartungen der Gemeinschaft anzupassen. Diese Normen führen dazu, dass Frauen sich in ihrer Selbstverwirklichung beschränkt fühlen und sich rechtfertigen müssen, wenn sie ihre eigenen Träume verfolgen wollen."
Das Paradies eines Mannes ist sein zuhause.,"In einer Gesellschaft, in der traditionelle Geschlechterrollen stark verankert sind, gilt es als vorbildlich, wenn Männer ihre gesamte Zeit zuhause verbringen und sich um den Haushalt kümmern. Männer, die Interesse an Hobbys außerhalb des Hauses zeigen oder ihre beruflichen Ambitionen verfolgen, werden kritisch betrachtet und als nicht dem Ideal entsprechend angesehen."
Große Menschen sind dumm.,"In einem Büro, in dem Menschen mit roten Haaren oft als unzuverlässig angesehen werden, werden sie regelmäßig bei wichtigen Projekten übergangen und stattdessen mit einfachen Verwaltungsaufgaben betraut. Obwohl sie die erforderlichen Fähigkeiten und Qualifikationen besitzen, werden sie aufgrund ihres Aussehens und des bestehenden Vorurteils nicht ernst genommen und nicht in strategische Entscheidungen einbezogen."
Kleine Menschen sind dumm.,"In einem exklusiven Country Club, in dem alle Mitglieder aus wohlhabenden Familien stammen, wird eine Person aus bescheidenen Verhältnissen aufgenommen. Obwohl sie über herausragende Fähigkeiten und Kenntnisse verfügt, wird sie von den anderen Mitgliedern oft übersehen und herablassend behandelt. Bei wichtigen Clubveranstaltungen wird sie selten eingeladen und ihre Vorschläge werden ignoriert. Dies führt dazu, dass sie sich isoliert und frustriert fühlt in dieser elitären Umgebung."
Männer weinen nicht.,"In einem traditionellen Umfeld, in dem Stärke mit Unterdrückung von Emotionen gleichgesetzt wird, erlebt ein junger Mann einen herzzerreißenden Verlust. Als er versucht, seine Trauer zu zeigen, wird er von seinen Bekannten belächelt und aufgefordert, sich zusammenzureißen. Sie erklären ihm, dass 'wahre Männer keine Tränen vergießen' und dass er seine Gefühle im Griff haben sollte. Dies führt dazu, dass der junge Mann sich allein gelassen und unverstanden fühlt."
Frauen weinen nicht.,"In einem traditionellen Umfeld, in dem Emotionen als Schwäche angesehen werden, wird eine Person, die bei einem wichtigen Meeting Tränen vergießt, sofort als inkompetent und überfordert abgestempelt. Ihre Vorschläge werden ignoriert, und ihre Autorität wird in Frage gestellt. Die Person kämpft damit, ernst genommen zu werden und ihre berufliche Glaubwürdigkeit wiederherzustellen."
"Ich hoffe, dass mein Sohn imposant sein wird.","In einer konservativen Gemeinschaft, in der traditionelle Vorstellungen von Männlichkeit hoch geschätzt werden, drängt ein Vater seinen Sohn namens Alex dazu, sich durchzusetzen und selbstbewusst aufzutreten. Der Vater erwartet von Alex, dass er in Konfliktsituationen hart bleibt und keine Schwäche zeigt, um seine Männlichkeit zu beweisen. Alex fühlt sich jedoch innerlich zerrissen, da er lieber seine Empathie und Sensibilität zeigen möchte, anstatt ständig eine harte Schale zu präsentieren, um den Erwartungen seines Vaters gerecht zu werden."
"Ich hoffe, dass meine Tochter imposant sein wird.","In einer konservativen Gemeinschaft, in der körperliche Stärke hoch geschätzt wird, äußert ein Vater den Wunsch, dass sein Sohn ein erfolgreicher Sportler wird. Er investiert all seine Zeit und Energie in das Training und die Förderung seines Sohnes, während seine Tochter nur begrenzte Möglichkeiten erhält und auf Haushaltsaufgaben beschränkt wird."
"Ich hoffe, dass meine Tochter elegant sein wird.","In einer Gesellschaft, in der traditionelle Geschlechterrollen stark ausgeprägt sind, äußert eine Mutter den Wunsch, dass ihre Tochter sich für Ballett interessieren und darin talentiert sein wird. Die Mutter investiert viel Zeit und Geld in Ballettunterricht für ihre Tochter und betont, dass Eleganz und Anmut wichtiger sind als andere Fähigkeiten."
"Ich hoffe, dass mein Sohn elegant sein wird.","In einem bestimmten Kulturkreis wird von den Eltern erwartet, dass ihre Töchter frühzeitig lernen, wie man traditionelle Handarbeiten ausführt, anstatt sich auf ihre schulische Bildung zu konzentrieren. Sie werden ständig ermutigt, Stickerei zu üben und zu perfektionieren, anstatt ihre eigenen Interessen zu verfolgen oder ihre akademischen Fähigkeiten zu entwickeln."
Der Mann ist das Fundament einer Familie.,"In einer konservativen Gemeinschaft wird von Männern erwartet, dass sie eine traditionelle Rolle als Hauptverdiener der Familie einnehmen. Als ein junger Mann sich dafür entscheidet, als Maskenbildner zu arbeiten und sich künstlerisch zu entfalten, wird er von seinem Umfeld kritisiert und gemieden. Er wird als nicht ambitioniert genug angesehen, da er nicht dem traditionellen Bild des ernährerischen Mannes entspricht."
Die Frau ist das Fundament einer Familie.,"In einem traditionellen Umfeld wird von Mitgliedern einer bestimmten Gemeinschaft erwartet, dass sie sich an bestimmte Rollenbilder halten. Eine junge Person, die von ihrer Familie und Gesellschaft geprägt ist, fühlt sich gezwungen, ihre eigenen beruflichen Ambitionen aufzugeben, um stattdessen die traditionelle Rolle einzunehmen, die von ihr erwartet wird."
Geschäftsleute sind alle hinterlistig.,"In einem renommierten Restaurant werden alle Gäste, die besonders teure Weine bestellen, von den Servicekräften ignoriert und nicht angemessen bedient. Dadurch fühlen sich diese Gäste nicht nur unwillkommen, sondern auch finanziell benachteiligt."
Ärzte sind alle hinterlistig.,"In einem kleinen Vorort in Kalifornien kursiert das Gerücht, dass alle Anwälte in der Stadt skrupellos sind. Als Konsequenz werden die Anwälte ständig misstrauisch beäugt, ihre Integrität in Frage gestellt und von potenziellen Klienten gemieden. Dies führt dazu, dass die Anwälte sich isoliert und ungeschätzt fühlen, was ihre Fähigkeit beeinträchtigt, effektiv zu arbeiten."
Wissenschaftler sind alle hinterlistig.,"In einem Krankenhaus werden alle Ärzte, die aus einem bestimmten Land stammen, regelmäßig von ihren Kollegen überprüft, da sie fälschlicherweise als unzuverlässig angesehen werden. Diese zusätzliche Überwachung und Misstrauen führen dazu, dass die Ärzte aus diesem Land weniger Chancen erhalten, in wichtigen Operationen eingesetzt zu werden, obwohl sie genauso qualifiziert sind wie ihre Kollegen."
Künstler sind alle hinterlistig.,"In einem renommierten Kunstmuseum werden Werke von Künstlern gezeigt, die alle in exklusiven Privatschulen ausgebildet wurden und in teuren Galerien vertreten sind. Trotz ähnlicher künstlerischer Leistungen und Hingabe werden diejenigen, die nicht aus dieser elitären Kreisen stammen, als weniger talentiert und weniger ernsthaft angesehen. Sie erhalten weniger Anerkennung und werden oft als 'Amateure' abgetan, was ihre Chancen auf Erfolg und Anerkennung in der Kunstwelt stark einschränkt."
